states,year,week,label,m1,m1flag,m2,m2flag,m3,m3flag,m4,m4flag,location1,location2,sortorder,geocode
CALIFORNIA,2022,1,Anthrax,,-,0.0,-,,-,,-,CALIFORNIA,,20220100059,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Arboviral diseases, Chikungunya virus disease",,-,1.0,-,,-,,-,CALIFORNIA,,20220100129,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Arboviral diseases, Eastern equine encephalitis virus disease",,-,0.0,-,,-,,-,CALIFORNIA,,20220100199,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Arboviral diseases, Jamestown Canyon  virus disease",,-,0.0,-,,-,,-,CALIFORNIA,,20220100269,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Arboviral diseases, La Crosse  virus disease",,-,0.0,-,,-,,-,CALIFORNIA,,20220100339,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Arboviral diseases, Powassan virus disease",,-,0.0,-,,-,,-,CALIFORNIA,,20220100409,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Arboviral diseases, St. Louis encephalitis virus disease",,-,1.0,-,,-,,-,CALIFORNIA,,20220100479,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Arboviral diseases, West Nile virus disease",,-,15.0,-,,-,,-,CALIFORNIA,,20220100549,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Arboviral diseases, Western equine encephalitis virus disease",,-,0.0,-,,-,,-,CALIFORNIA,,20220100619,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Babesiosis,,-,1.0,-,,-,,-,CALIFORNIA,,20220100689,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Botulism, Foodborne",,-,0.0,-,,-,,-,CALIFORNIA,,20220100759,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Botulism, Infant",,-,6.0,-,,-,1.0,-,CALIFORNIA,,20220100829,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Botulism, Other (wound & unspecified)",,-,2.0,-,,-,,-,CALIFORNIA,,20220100899,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Brucellosis,,-,2.0,-,,-,1.0,-,CALIFORNIA,,20220100969,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Campylobacteriosis,47.0,-,249.0,-,47.0,-,50.0,-,CALIFORNIA,,20220101039,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Candida auris, clinical",,-,0.0,-,,-,,-,CALIFORNIA,,20220101109,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,,-,16.0,-,,-,1.0,-,CALIFORNIA,,20220101179,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Chancroid,,-,1.0,-,,-,,-,CALIFORNIA,,20220101249,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Chlamydia trachomatis infection,235.0,-,,NC,235.0,-,3455.0,-,CALIFORNIA,,20220101319,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Cholera,,-,1.0,-,,-,,-,CALIFORNIA,,20220101389,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Coccidioidomycosis,10.0,-,212.0,-,10.0,-,61.0,-,CALIFORNIA,,20220101459,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Cryptosporidiosis,2.0,-,20.0,-,2.0,-,1.0,-,CALIFORNIA,,20220101529,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Cyclosporiasis,,-,10.0,-,,-,,-,CALIFORNIA,,20220101599,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Dengue virus infections, Dengue",,-,4.0,-,,-,2.0,-,CALIFORNIA,,20220101669,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Dengue virus infections, Dengue-like illness",,-,0.0,-,,-,,-,CALIFORNIA,,20220101739,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Dengue virus infections, Severe dengue",,-,0.0,-,,-,,-,CALIFORNIA,,20220101809,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",,-,3.0,-,,-,,-,CALIFORNIA,,20220101879,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",,-,0.0,-,,-,,-,CALIFORNIA,,20220101949,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",,-,0.0,-,,-,,-,CALIFORNIA,,20220102019,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",,-,0.0,-,,-,,-,CALIFORNIA,,20220102089,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Giardiasis,,-,51.0,-,,-,3.0,-,CALIFORNIA,,20220102159,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Gonorrhea,158.0,-,1933.0,-,158.0,-,1716.0,-,CALIFORNIA,,20220102229,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype",,-,0.0,-,,-,,-,CALIFORNIA,,20220102299,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable",,-,0.0,-,,-,,-,CALIFORNIA,,20220102369,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",,-,0.0,-,,-,,-,CALIFORNIA,,20220102439,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",,-,2.0,-,,-,,-,CALIFORNIA,,20220102509,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Haemophilus influenzae, invasive disease, All ages, all serotypes",,-,2.0,-,,-,,-,CALIFORNIA,,20220102579,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Hansen's disease,,-,1.0,-,,-,,-,CALIFORNIA,,20220102649,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Hantavirus infection, non-hantavirus pulmonary syndrome",,-,0.0,-,,-,,-,CALIFORNIA,,20220102719,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Hantavirus pulmonary syndrome,,-,0.0,-,,-,,-,CALIFORNIA,,20220102789,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Hemolytic uremic syndrome post-diarrheal,,-,10.0,-,,-,1.0,-,CALIFORNIA,,20220102859,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Hepatitis B, perinatal infection",,-,1.0,-,,-,,-,CALIFORNIA,,20220102929,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Hepatitis C, acute, Confirmed",,-,4.0,-,,-,1.0,-,CALIFORNIA,,20220102999,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Hepatitis C, acute, Probable",,-,4.0,-,,-,,-,CALIFORNIA,,20220103069,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Hepatitis C, perinatal infection",,-,2.0,-,,-,,-,CALIFORNIA,,20220103139,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Hepatitis, A, acute",,-,4.0,-,,-,,-,CALIFORNIA,,20220103209,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Hepatitis, B, acute",,-,3.0,-,,-,,-,CALIFORNIA,,20220103279,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Influenza-associated pediatric mortality,,-,0.0,-,,-,,-,CALIFORNIA,,20220103349,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Invasive pneumococcal disease, age <5 years, Confirmed",,N,,NC,,N,,N,CALIFORNIA,,20220103419,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Invasive pneumococcal disease, age <5 years, Probable",,N,,NC,,N,,N,CALIFORNIA,,20220103489,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Invasive pneumococcal disease, all ages, Confirmed",,N,,NC,,N,,N,CALIFORNIA,,20220103559,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Invasive pneumococcal disease, all ages, Probable",,N,,NC,,N,,N,CALIFORNIA,,20220103629,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Legionellosis,,-,14.0,-,,-,1.0,-,CALIFORNIA,,20220103699,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Leptospirosis,,-,1.0,-,,-,,-,CALIFORNIA,,20220103769,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Listeriosis, Confirmed",,-,5.0,-,,-,,-,CALIFORNIA,,20220103839,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Listeriosis, Probable",,-,0.0,-,,-,,-,CALIFORNIA,,20220103909,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Malaria,,-,5.0,-,,-,,-,CALIFORNIA,,20220103979,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Measles, Imported",,-,0.0,-,,-,,-,CALIFORNIA,,20220104049,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Measles, Indigenous",,-,0.0,-,,-,,-,CALIFORNIA,,20220104119,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Meningococcal disease, All serogroups",,-,1.0,-,,-,1.0,-,CALIFORNIA,,20220104189,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Meningococcal disease, Other serogroups",,-,0.0,-,,-,,-,CALIFORNIA,,20220104259,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Meningococcal disease, Serogroup B",,-,0.0,-,,-,,-,CALIFORNIA,,20220104329,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Meningococcal disease, Serogroups ACWY",,-,0.0,-,,-,,-,CALIFORNIA,,20220104399,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Meningococcal disease, Unknown serogroup",,-,1.0,-,,-,1.0,-,CALIFORNIA,,20220104469,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Mumps,,-,3.0,-,,-,,-,CALIFORNIA,,20220104539,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Novel Influenza A virus infections,,-,0.0,-,,-,,-,CALIFORNIA,,20220104609,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Pertussis,,-,6.0,-,,-,1.0,-,CALIFORNIA,,20220104679,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Plague,,-,0.0,-,,-,,-,CALIFORNIA,,20220104749,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Poliomyelitis, paralytic",,-,0.0,-,,-,,-,CALIFORNIA,,20220104819,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Poliovirus infection, nonparalytic",,-,0.0,-,,-,,-,CALIFORNIA,,20220104889,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,Psittacosis,,-,0.0,-,,-,,-,CALIFORNIA,,20220104959,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Q fever, Acute",,-,4.0,-,,-,,-,CALIFORNIA,,20220105029,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Q fever, Chronic",,-,0.0,-,,-,,-,CALIFORNIA,,20220105099,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Q fever, Total",,-,4.0,-,,-,,-,CALIFORNIA,,20220105169,POINT (-119.662127 37.211164)
CALIFORNIA,2022,1,"Rabies, Animal",,-,11.0,-,,-,,-,CALIFORNIA,,20220105239,POINT (-119.662127 37.211164)
